cpu_0_name,cpu_0_temperature_0,cpu_1_name,cpu_1_temperature_0,cpu_1_temperature_1,cpu_2_name,cpu_2_temperature_0,cpu_2_temperature_1,cpu_3_name,cpu_3_temperature_0,cpu_4_name,cpu_4_temperature_0,cpu_4_temperature_1,cpu_5_name,cpu_5_temperature_0,cpu_5_temperature_1,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.25,22.25,k10temp-pci-00c3,23.25,23.25,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.25,21.25,k10temp-pci-00cb,23.25,23.25,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.25,22.25,k10temp-pci-00c3,23.25,23.25,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.25,21.25,k10temp-pci-00cb,23.25,23.25,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.25,22.25,k10temp-pci-00c3,23.25,23.25,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.25,21.25,k10temp-pci-00cb,23.25,23.25,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.25,22.25,k10temp-pci-00c3,23.25,23.25,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.5,21.5,k10temp-pci-00cb,23.25,23.25,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.375,22.375,k10temp-pci-00c3,23.5,23.5,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.5,21.5,k10temp-pci-00cb,23.5,23.5,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.5,22.5,k10temp-pci-00c3,23.5,23.5,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.5,21.5,k10temp-pci-00cb,23.5,23.5,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.625,22.625,k10temp-pci-00c3,23.5,23.5,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.5,21.5,k10temp-pci-00cb,23.5,23.5,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.625,22.625,k10temp-pci-00c3,23.625,23.625,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.5,21.5,k10temp-pci-00cb,23.5,23.5,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.75,22.75,k10temp-pci-00c3,23.625,23.625,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.625,21.625,k10temp-pci-00cb,23.5,23.5,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.75,22.75,k10temp-pci-00c3,24.75,24.75,jc42-i2c-2-10,-0.062,k10temp-pci-00db,22.875,22.875,k10temp-pci-00cb,23,23,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.75,22.75,k10temp-pci-00c3,24.5,24.5,jc42-i2c-2-10,-0.062,k10temp-pci-00db,23.75,23.75,k10temp-pci-00cb,22.625,22.625,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.5,22.5,k10temp-pci-00c3,23.875,23.875,jc42-i2c-2-10,-0.062,k10temp-pci-00db,23.375,23.375,k10temp-pci-00cb,22.5,22.5,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,22.25,22.25,k10temp-pci-00c3,22.5,22.5,jc42-i2c-2-10,-0.062,k10temp-pci-00db,21.875,21.875,k10temp-pci-00cb,22.25,22.25,
jc42-i2c-0-70,80.312,k10temp-pci-00d3,21.75,21.75,k10temp-pci-00c3,21.75,21.75,jc42-i2c-2-10,-0.062,k10temp-pci-00db,20.25,20.25,k10temp-pci-00cb,21.25,21.25,
