timestamp,cpu_jc42-i2c-0-70_temperature_0,cpu_k10temp-pci-00d3_temperature_0,cpu_k10temp-pci-00d3_temperature_1,cpu_k10temp-pci-00c3_temperature_0,cpu_k10temp-pci-00c3_temperature_1,cpu_jc42-i2c-2-10_temperature_0,cpu_k10temp-pci-00db_temperature_0,cpu_k10temp-pci-00db_temperature_1,cpu_k10temp-pci-00cb_temperature_0,cpu_k10temp-pci-00cb_temperature_1,core_0_freq,core_1_freq,core_2_freq,core_3_freq,core_4_freq,core_5_freq,core_6_freq,core_7_freq,core_8_freq,core_9_freq,core_10_freq,core_11_freq,core_12_freq,core_13_freq,core_14_freq,core_15_freq,core_16_freq,core_17_freq,core_18_freq,core_19_freq,core_20_freq,core_21_freq,core_22_freq,core_23_freq,core_24_freq,core_25_freq,core_26_freq,core_27_freq,core_28_freq,core_29_freq,core_30_freq,core_31_freq,gpu_0_name,gpu_0_gpu_temperature,gpu_0_mem_temperature,gpu_0_power_usage,gpu_0_power_limit,gpu_0_utilization_gpu,gpu_0_utilization_memory,gpu_0_memory_used,gpu_0_memory_total,gpu_0_pstate,gpu_1_name,gpu_1_gpu_temperature,gpu_1_mem_temperature,gpu_1_power_usage,gpu_1_power_limit,gpu_1_utilization_gpu,gpu_1_utilization_memory,gpu_1_memory_used,gpu_1_memory_total,gpu_1_pstate
0.706485,80.312,18,18,18,18,-0.062,16.75,16.75,17.875,17.875,2720603,2797668,2747646,2891730,2324965,2643868,2671726,2498834,2327064,2326327,2745135,2826536,2330247,2329932,2329777,2619527,2859412,2721262,2679529,2893877,2883260,2821426,2892670,2745082,2885472,2888403,2887094,2896856,2888343,2889424,2631244,2605340,TITAN V,26,25,24670,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25626,250000,0,0,17891328,12652838912,8
1.71528,80.312,18,18,18,18,-0.062,16.75,16.75,17.875,17.875,2327361,2324475,2773985,2893362,2807562,2701534,2324830,2328610,2322697,2322629,2880427,2812030,2325488,2327364,2323624,2325185,2329188,2798622,2874843,2327119,2323787,2324101,2324543,2573018,2325170,2699592,2327841,2322893,2325581,2325493,2326959,2323926,TITAN V,26,25,24674,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25727,250000,0,0,17891328,12652838912,8
3.3676,80.312,18,18,18,18,-0.062,16.75,16.75,17.875,17.875,2325017,2324325,2885953,2323502,2651950,2510481,2325209,2330243,2323091,2326061,2880137,2805624,2325204,2324837,2327792,2323973,2323770,2324914,2642065,2328648,2884025,2324116,2321638,2326440,2324713,2323971,2326114,2325986,2327953,2327136,2325620,2327520,TITAN V,26,25,24670,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25823,250000,0,0,17891328,12652838912,8
5.02246,80.312,18,18,18,18,-0.062,16.75,16.75,17.875,17.875,2324121,2326934,2886878,2323530,2882069,2321987,2327272,2326173,2323498,2325970,2324834,2324181,2328469,2325633,2320391,2322821,2322413,2804608,2888263,2327064,2325386,2322609,2327187,2326342,2325004,2325244,2329246,2325784,2323508,2325974,2324823,2324880,TITAN V,26,25,24670,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25727,250000,0,0,17891328,12652838912,8
6.67569,80.312,18,18,18,18,-0.062,16.75,16.75,17.75,17.75,2327043,2327761,2891311,2653080,2328353,2328460,2324145,2328090,2324535,2327408,2880976,2814499,2327209,2328848,2324643,2323642,2328199,2322370,2887401,2330889,2881707,2807474,2324848,2324848,2324463,2326285,2323895,2325421,2328176,2323649,2328102,2325450,TITAN V,26,25,24670,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25823,250000,0,0,17891328,12652838912,8
8.3312,80.312,18,18,18,18,-0.062,16.75,16.75,17.75,17.75,2326832,2799879,2448824,2326041,2881546,2324741,2328526,2327957,2322630,2329172,2325332,2323569,2323180,2322234,2325563,2323271,2673447,2325997,2854190,2329395,2326139,2325343,2623407,2326445,2323391,2326228,2325000,2324974,2327640,2326357,2324786,2328984,TITAN V,26,25,24670,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25722,250000,0,0,17891328,12652838912,8
9.98348,80.312,18,18,18,18,-0.062,16.75,16.75,17.75,17.75,2731359,2327039,2631912,2324755,2327746,2324806,2327830,2327742,2326456,2326072,2880950,2813963,2324397,2326523,2326419,2324963,2322713,2324569,2890913,2325792,2326198,2326350,2327161,2763089,2327606,2324167,2322103,2326506,2324955,2322686,2325235,2324722,TITAN V,26,25,24573,250000,0,0,47054848,12652838912,8,TITAN V,28,26,25727,250000,0,0,17891328,12652838912,8
11.6385,80.312,18,18,18,18,-0.062,16.75,16.75,17.75,17.75,2324727,2715711,2774164,2899814,2322324,2325310,2323298,2328722,2326962,2324118,2324305,2806706,2324777,2322619,2322149,2326909,2808731,2328531,2790830,2893133,2325631,2815026,2323707,2325760,2324550
